datetime,open,high,low,close,volume
2025-03-17 03:45:00,157.89,158.75,157.61,157.92,497508
2025-03-17 03:50:00,157.92,158.35,157.66,158.26,189823
2025-03-17 03:55:00,158.34,159.12,158.34,158.6,206492
2025-03-17 04:00:00,158.65,159.2,158.61,159.1,178172
2025-03-17 04:05:00,159.1,159.15,158.55,158.86,124262
2025-03-17 04:10:00,158.86,158.88,158.2,158.55,135715
2025-03-17 04:15:00,158.61,158.93,158.2,158.66,74959
2025-03-17 04:20:00,158.66,158.66,158.15,158.2,62671
2025-03-17 04:25:00,158.16,158.42,158,158.15,188578
2025-03-17 04:30:00,158.16,158.39,157.85,157.91,188085
2025-03-17 04:35:00,157.87,158.14,157.84,157.99,88628
2025-03-17 04:40:00,157.93,158.05,157.67,157.73,100757
2025-03-17 04:45:00,157.74,157.8,156.98,157.16,229609
2025-03-17 04:50:00,157.14,157.29,157.01,157.12,68474
2025-03-17 04:55:00,157.15,157.18,156.7,157.01,226952
2025-03-17 05:00:00,157.03,157.13,156.8,156.85,74920
2025-03-17 05:05:00,156.86,156.89,156.7,156.76,55053
2025-03-17 05:10:00,156.75,157.14,156.73,157.07,46790
2025-03-17 05:15:00,157.07,157.37,157,157.22,53655
2025-03-17 05:20:00,157.22,157.65,157.22,157.5,154826
2025-03-17 05:25:00,157.5,157.75,157.48,157.69,55330
2025-03-17 05:30:00,157.69,157.75,157.54,157.55,35374
2025-03-17 05:35:00,157.55,157.6,157.16,157.2,132798
2025-03-17 05:40:00,157.2,157.2,157.05,157.16,22990
2025-03-17 05:45:00,157.18,157.32,157.17,157.27,21333
2025-03-17 05:50:00,157.27,157.4,157.24,157.35,39001
2025-03-17 05:55:00,157.35,157.65,157.2,157.62,63999
2025-03-17 06:00:00,157.62,157.68,157.42,157.47,19114
2025-03-17 06:05:00,157.43,157.85,157.42,157.8,154829
2025-03-17 06:10:00,157.8,157.89,157.67,157.74,32318
2025-03-17 06:15:00,157.77,157.8,157.58,157.65,59584
2025-03-17 06:20:00,157.67,157.7,157.26,157.3,43156
2025-03-17 06:25:00,157.3,157.46,157.1,157.43,130190
2025-03-17 06:30:00,157.46,157.7,157.44,157.66,32758
2025-03-17 06:35:00,157.66,157.81,157.6,157.77,42286
2025-03-17 06:40:00,157.77,157.84,157.65,157.7,20523
2025-03-17 06:45:00,157.66,157.66,157.38,157.46,25732
2025-03-17 06:50:00,157.46,157.46,157.3,157.32,21720
2025-03-17 06:55:00,157.3,157.3,157.02,157.15,55129
2025-03-17 07:00:00,157.15,157.2,156.96,156.97,70215
2025-03-17 07:05:00,156.96,157.18,156.8,157.16,43044
2025-03-17 07:10:00,157.1,157.4,157.01,157.31,22804
2025-03-17 07:15:00,157.34,157.39,157.12,157.21,23181
2025-03-17 07:20:00,157.22,157.35,157.15,157.3,12519
2025-03-17 07:25:00,157.3,157.39,157.21,157.21,15769
2025-03-17 07:30:00,157.27,157.37,157.11,157.21,36463
2025-03-17 07:35:00,157.14,157.22,156.8,156.9,57487
2025-03-17 07:40:00,156.98,157.19,156.89,157.1,13981
2025-03-17 07:45:00,157.09,157.24,156.94,157.17,75161
2025-03-17 07:50:00,157.18,157.69,157.03,157.6,180269
