datetime,open,high,low,close,volume
2025-05-02 03:45:00,650.79,657.85,647.65,649.04,5161
2025-05-02 03:50:00,647.85,648.04,638.54,641.45,4354
2025-05-02 03:55:00,642.35,643.45,638.95,643.29,1838
2025-05-02 04:00:00,642.29,644.95,642.25,643.25,1394
2025-05-02 04:05:00,643.2,644,642.25,643.7,716
2025-05-02 04:10:00,643.75,643.95,642,642,747
2025-05-02 04:15:00,642,643.35,641.5,643.35,205
2025-05-02 04:20:00,643.35,644.85,642.5,644.4,1987
2025-05-02 04:25:00,644.15,645.1,642.6,643,1478
2025-05-02 04:30:00,642.75,643,642.15,642.25,910
2025-05-02 04:35:00,642.25,642.25,638.54,639.29,13944
2025-05-02 04:40:00,638.54,639.2,638.15,639.2,317
2025-05-02 04:45:00,639.2,640,639.2,639.25,602
2025-05-02 04:50:00,639.45,640,639.2,639.9,1098
2025-05-02 04:55:00,639.85,639.9,638.35,638.75,2334
2025-05-02 05:00:00,638.75,639,638.65,638.79,881
2025-05-02 05:05:00,638.75,639.6,638.54,639.25,2397
2025-05-02 05:10:00,639.85,641.45,638.54,639,2343
2025-05-02 05:15:00,639.04,641.5,638.45,639.29,12529
2025-05-02 05:20:00,640,641.4,639.04,640.65,3515
2025-05-02 05:25:00,640.95,641.4,640.65,641,2834
2025-05-02 05:30:00,641,641.85,640.85,641.85,2545
2025-05-02 05:35:00,641.9,641.9,641,641,1163
2025-05-02 05:40:00,641,641,640.79,641,453
2025-05-02 05:45:00,640.79,641.65,640.45,641,1533
2025-05-02 05:50:00,641,641,639.04,639.5,9363
2025-05-02 05:55:00,639.45,639.9,639.45,639.9,123
2025-05-02 06:00:00,639.75,640.5,639.75,639.9,378
2025-05-02 06:05:00,639.5,639.95,639,639.85,106
2025-05-02 06:10:00,639.5,639.85,639.1,639.1,253
2025-05-02 06:15:00,639.45,639.45,639.04,639.45,145
2025-05-02 06:20:00,639.4,640.6,639.1,640.6,1276
2025-05-02 06:25:00,640.54,641.45,640.25,641,2601
2025-05-02 06:30:00,640.54,640.85,640.4,640.79,49
2025-05-02 06:35:00,640.7,640.75,640,640,931
2025-05-02 06:40:00,640.15,640.85,640,640.85,130
2025-05-02 06:45:00,640.15,640.65,639.1,639.5,8711
2025-05-02 06:50:00,639.15,639.15,637.4,637.4,1859
2025-05-02 06:55:00,637.7,637.79,635.4,635.4,1372
2025-05-02 07:00:00,635.45,635.75,635.15,635.65,186
2025-05-02 07:05:00,635.15,636.95,635.15,636,351
2025-05-02 07:10:00,635.95,636.04,635.2,635.25,285
2025-05-02 07:15:00,635.79,637.54,635.25,637.45,752
2025-05-02 07:20:00,637.45,638.15,636.79,637.45,272
2025-05-02 07:25:00,636.5,636.95,636,636.95,193
2025-05-02 07:30:00,637.25,637.25,636.75,636.95,164
2025-05-02 07:35:00,636.9,637.9,636.35,636.54,544
2025-05-02 07:40:00,636.54,637.15,636.4,636.79,150
2025-05-02 07:45:00,636.79,637.7,636.54,636.75,282
2025-05-02 07:50:00,637.2,637.6,636.7,637,269
2025-05-02 07:55:00,636.5,639.85,636.15,638.54,1569
2025-05-02 08:00:00,638.95,640,638.79,638.79,472
2025-05-02 08:05:00,639.35,639.4,638.79,639.25,118
2025-05-02 08:10:00,639.25,639.79,638.25,638.65,592
2025-05-02 08:15:00,638.79,639.29,638.04,638.45,422
2025-05-02 08:20:00,638.2,638.45,638,638,285
2025-05-02 08:25:00,638,639.15,638,639.15,287
2025-05-02 08:30:00,638.79,639.45,638.29,639.15,356
2025-05-02 08:35:00,639,639,638,638.35,632
2025-05-02 08:40:00,638.35,639.5,638.04,639.1,1373
2025-05-02 08:45:00,639.04,640,637.25,637.29,8395
2025-05-02 08:50:00,637.2,637.79,635.54,635.9,877
2025-05-02 08:55:00,635.54,637.04,635.54,635.54,2277
2025-05-02 09:00:00,635.54,635.54,633.2,634.15,3249
2025-05-02 09:05:00,634.15,635.4,633.75,635.4,342
2025-05-02 09:10:00,635.4,636.35,634.2,634.2,1097
2025-05-02 09:15:00,634.04,634.54,632.29,632.29,5544
2025-05-02 09:20:00,632.65,633,632.2,632.7,3374
2025-05-02 09:25:00,632.7,633,628.1,628.7,7253
2025-05-02 09:30:00,629,630.9,626.29,626.85,6546
2025-05-02 09:35:00,626.95,630,626.65,629.54,4670
2025-05-02 09:40:00,629.6,632.54,627.35,632.2,14553
2025-05-02 09:45:00,632.1,634.45,629,633.2,11098
2025-05-02 09:50:00,633.25,634,629.7,629.75,11573
2025-05-02 09:55:00,629.75,632.65,629.75,632.65,4874
2025-05-05 03:45:00,635.4,646.45,635,637.5,3914
2025-05-05 03:50:00,637.79,639.35,636.2,638.85,854
2025-05-05 03:55:00,638.5,641.04,637.9,640.4,1853
2025-05-05 04:00:00,639.9,640.35,637.2,637.75,1038
2025-05-05 04:05:00,637.75,639.79,636.29,637.79,1064
2025-05-05 04:10:00,637.2,637.85,637.15,637.85,228
2025-05-05 04:15:00,637.79,640.2,637.6,640.2,439
2025-05-05 04:20:00,640.7,642,639.45,640.65,811
2025-05-05 04:25:00,640.95,641.15,638.65,640.35,553
2025-05-05 04:30:00,640.2,641.04,639.79,639.79,191
2025-05-05 04:35:00,639.65,642,639.65,640.7,747
2025-05-05 04:40:00,640.6,641.35,639.6,640.79,1583
2025-05-05 04:45:00,640.54,641.1,638.1,638.1,1455
2025-05-05 04:50:00,638.1,638.79,637.25,637.25,1077
2025-05-05 04:55:00,637.15,637.45,636.15,636.35,1070
2025-05-05 05:00:00,636.54,638.15,636.54,638.15,1083
2025-05-05 05:05:00,638.15,638.15,636.4,637.15,915
2025-05-05 05:10:00,636.79,638.7,636.45,638.7,1203
2025-05-05 05:15:00,639.5,645.65,639.5,644.45,5955
2025-05-05 05:20:00,644.2,644.95,644.2,644.95,196
2025-05-05 05:25:00,644.7,644.9,643.15,643.15,556
2025-05-05 05:30:00,643.15,644,642.4,643.1,387
2025-05-05 05:35:00,643.1,645,643.1,645,736
2025-05-05 05:40:00,644.29,645.5,644.29,644.95,134
2025-05-05 05:45:00,644.95,647.5,644.95,646.4,1190
2025-05-05 05:50:00,646,646.4,645.54,646,454
2025-05-05 05:55:00,646,646,643.4,644,1073
2025-05-05 06:00:00,644.04,644.79,644.04,644.35,95
2025-05-05 06:05:00,644.35,644.35,643.6,643.7,268
2025-05-05 06:10:00,644.25,644.5,643.7,644.5,148
2025-05-05 06:15:00,644.5,650.5,644.5,647.85,6144
2025-05-05 06:20:00,647.85,648.4,646.5,646.5,291
2025-05-05 06:25:00,646.79,650.54,646.75,650.54,1422
2025-05-05 06:30:00,649.9,650.5,649.15,650.2,173
2025-05-05 06:35:00,649.54,649.54,648,648.29,793
2025-05-05 06:40:00,648.29,649.1,647.9,648.5,234
2025-05-05 06:45:00,648.35,648.54,647.65,647.79,378
