datetime,open,high,low,close,volume
2025-04-16 03:45:00,85.21,85.48,84.84,85.36,1349384
2025-04-16 03:50:00,85.36,85.6,85.17,85.49,580215
2025-04-16 03:55:00,85.46,85.54,85.25,85.46,388843
2025-04-16 04:00:00,85.46,85.5,85.23,85.37,532078
2025-04-16 04:05:00,85.37,85.92,85.29,85.85,911706
2025-04-16 04:10:00,85.83,86.26,85.81,86.2,1264724
2025-04-16 04:15:00,86.2,86.22,85.83,85.87,475634
2025-04-16 04:20:00,85.87,86.1,85.86,86.01,248250
2025-04-16 04:25:00,86,86.06,85.99,86,280400
2025-04-16 04:30:00,86.03,86.05,86,86.03,195231
2025-04-16 04:35:00,86,86.03,85.86,85.91,236139
2025-04-16 04:40:00,85.91,86,85.81,85.93,143464
2025-04-16 04:45:00,85.92,85.93,85.6,85.66,445778
2025-04-16 04:50:00,85.66,85.78,85.6,85.67,253418
2025-04-16 04:55:00,85.65,85.99,85.63,85.91,285755
2025-04-16 05:00:00,85.91,86.16,85.84,85.9,487373
2025-04-16 05:05:00,85.88,85.92,85.76,85.79,118627
2025-04-16 05:10:00,85.78,86.03,85.76,86.03,192198
2025-04-16 05:15:00,86.02,86.02,85.9,85.94,109107
2025-04-16 05:20:00,85.95,85.98,85.81,85.88,145867
2025-04-16 05:25:00,85.88,85.95,85.81,85.9,112622
2025-04-16 05:30:00,85.9,85.9,85.72,85.77,268747
2025-04-16 05:35:00,85.79,86.12,85.77,86.07,364943
2025-04-16 05:40:00,86.07,86.15,86.02,86.07,251025
2025-04-16 05:45:00,86.09,86.16,86.07,86.09,160346
2025-04-16 05:50:00,86.1,86.15,86.02,86.1,141239
2025-04-16 05:55:00,86.1,86.13,85.97,85.99,127398
2025-04-16 06:00:00,85.99,86,85.91,85.98,68582
2025-04-16 06:05:00,85.97,86.05,85.93,85.93,92731
2025-04-16 06:10:00,85.94,86,85.8,85.99,135900
2025-04-16 06:15:00,85.99,86.02,85.8,85.8,111440
2025-04-16 06:20:00,85.8,85.91,85.8,85.85,119533
2025-04-16 06:25:00,85.87,85.92,85.82,85.82,63281
2025-04-16 06:30:00,85.83,85.9,85.81,85.88,63259
2025-04-16 06:35:00,85.87,85.97,85.8,85.94,117226
2025-04-16 06:40:00,85.93,85.99,85.8,85.83,615341
