datetime,open,high,low,close,volume
2026-01-29 03:45:00,175.69,175.7,173.91,174.43,3539
2026-01-29 03:50:00,174.3,174.71,174.11,174.11,5257
2026-01-29 03:55:00,174.36,174.71,174.31,174.71,490
2026-01-29 04:00:00,174.38,174.57,174,174,1425
2026-01-29 04:05:00,174.16,174.49,174,174,2539
2026-01-29 04:10:00,174,174,173.91,173.91,513
2026-01-29 04:15:00,173.91,174.15,173.91,173.95,315
2026-01-29 04:20:00,174.01,174.34,174,174,1006
2026-01-29 04:25:00,174,174,173.21,173.21,2150
2026-01-29 04:30:00,173.2,173.45,172.76,173.45,2782
2026-01-29 04:35:00,173.35,173.35,173,173,357
2026-01-29 04:40:00,173.28,173.28,172.63,172.86,169
2026-01-29 04:45:00,172.86,172.93,172.55,172.55,183
2026-01-29 04:50:00,172.65,172.78,172.25,172.42,2003
2026-01-29 04:55:00,172.42,172.68,172.35,172.67,392
2026-01-29 05:00:00,172.67,172.67,172.27,172.35,100
2026-01-29 05:05:00,172.56,172.69,172.5,172.69,277
2026-01-29 05:10:00,172.69,172.72,172.31,172.62,392
2026-01-29 05:15:00,172.37,172.45,172.1,172.45,796
2026-01-29 05:20:00,172.42,172.42,172.4,172.4,510
2026-01-29 05:25:00,172.41,172.73,172.4,172.41,94
2026-01-29 05:30:00,172.67,172.95,172.67,172.95,29
2026-01-29 05:35:00,172.94,172.95,172.55,172.81,494
2026-01-29 05:40:00,172.81,172.81,172.4,172.4,859
2026-01-29 05:45:00,172.4,172.69,172.4,172.69,105
2026-01-29 05:50:00,172.69,172.84,172.63,172.63,22
2026-01-29 05:55:00,172.63,172.65,172.63,172.65,111
2026-01-29 06:00:00,172.63,173,172.63,173,1001
2026-01-29 06:05:00,172.87,172.91,172.48,172.48,1431
2026-01-29 06:10:00,172.48,172.82,172.48,172.82,140
2026-01-29 06:15:00,172.82,172.89,172.52,172.89,283
2026-01-29 06:20:00,172.61,172.93,172.59,172.93,270
2026-01-29 06:25:00,172.93,172.93,172.93,172.93,10
2026-01-29 06:30:00,172.68,172.83,172.41,172.83,465
2026-01-29 06:35:00,172.7,172.8,172.21,172.21,1902
2026-01-29 06:40:00,172.21,172.61,172.21,172.61,50
2026-01-29 06:45:00,172.21,172.21,172.21,172.21,25
2026-01-29 06:50:00,172.21,172.68,172.21,172.68,21
2026-01-29 06:55:00,172.68,172.68,172.68,172.68,0
2026-01-29 07:00:00,172.68,172.68,172.29,172.52,108
2026-01-29 07:05:00,172.25,172.58,171.01,171.01,3921
2026-01-29 07:10:00,171.03,171.49,171,171.35,1201
2026-01-29 07:15:00,171.11,171.46,170.66,171.35,1461
2026-01-29 07:20:00,171.31,172.2,171.31,172.2,168
2026-01-29 07:25:00,172.02,172.2,172.01,172.2,214
2026-01-29 07:30:00,172.2,172.2,171.9,171.94,188
2026-01-29 07:35:00,171.94,172.19,171.94,171.99,440
2026-01-29 07:40:00,171.99,172.19,171.99,172.19,12
2026-01-29 07:45:00,171.99,172.19,171.99,172.1,116
2026-01-29 07:50:00,171.7,171.7,171.7,171.7,1
2026-01-29 07:55:00,171.7,172.21,171.7,172.21,234
2026-01-29 08:00:00,172.21,172.21,171.85,172.01,36
2026-01-29 08:05:00,172.01,172.03,172,172.03,78
2026-01-29 08:10:00,172.21,172.59,172.21,172.59,160
2026-01-29 08:15:00,172.6,172.89,172.6,172.61,257
2026-01-29 08:20:00,172.61,172.76,172.55,172.55,159
2026-01-29 08:25:00,172.55,172.55,171.45,171.73,5055
2026-01-29 08:30:00,171.72,172.09,171.72,172.09,525
2026-01-29 08:35:00,172.26,174.7,172.26,174.6,10415
2026-01-29 08:40:00,174.05,174.57,174,174.44,1148
2026-01-29 08:45:00,174.39,174.44,174.16,174.24,268
2026-01-29 08:50:00,174.25,174.57,173.99,174.31,2095
2026-01-29 08:55:00,174.28,174.57,174,174.11,324
2026-01-29 09:00:00,174.11,174.84,174.11,174.84,5673
2026-01-29 09:05:00,174.84,174.84,174.3,174.3,164
2026-01-29 09:10:00,174.22,177.73,174,177.73,8705
2026-01-29 09:15:00,177.66,178.06,177.11,177.48,2451
2026-01-29 09:20:00,177.15,177.69,177,177.1,1599
2026-01-29 09:25:00,177.1,177.19,177.03,177.12,550
2026-01-29 09:30:00,177.12,177.63,177.05,177.1,487
2026-01-29 09:35:00,177.29,177.29,177,177,940
2026-01-29 09:40:00,177,177.28,176.73,176.86,2307
2026-01-29 09:45:00,177,180.4,175.84,180.15,23818
2026-01-29 09:50:00,180.16,180.18,179.81,180,2438
2026-01-29 09:55:00,180,180.09,180,180,4744
2026-01-30 03:45:00,178.99,178.99,176,176,6682
2026-01-30 03:50:00,176,176.1,175.42,175.84,1803
2026-01-30 03:55:00,175.82,176.49,175.5,175.75,1563
2026-01-30 04:00:00,176.04,176.56,175.71,176.56,655
2026-01-30 04:05:00,176.56,177.1,176.13,176.24,919
2026-01-30 04:10:00,176.65,176.9,176.32,176.46,1637
2026-01-30 04:15:00,176.46,176.79,176.46,176.46,11
2026-01-30 04:20:00,176.25,176.68,176.24,176.37,460
2026-01-30 04:25:00,176.8,177,176.69,176.72,589
2026-01-30 04:30:00,176.9,177,176.47,176.69,1903
2026-01-30 04:35:00,176.69,177.21,176.24,176.24,4023
2026-01-30 04:40:00,176.24,176.99,176.24,176.5,1355
2026-01-30 04:45:00,176.51,176.86,176.51,176.81,167
2026-01-30 04:50:00,176.79,176.79,176.35,176.41,541
2026-01-30 04:55:00,176.38,176.53,176.25,176.28,356
2026-01-30 05:00:00,176.26,176.26,176.24,176.24,632
2026-01-30 05:05:00,176.26,176.49,176.26,176.3,147
2026-01-30 05:10:00,176.3,176.5,176.24,176.5,102
2026-01-30 05:15:00,176.5,176.5,176.24,176.24,29
2026-01-30 05:20:00,176.5,176.5,176.24,176.24,45
2026-01-30 05:25:00,176.47,176.98,176.25,176.91,334
2026-01-30 05:30:00,176.91,177.08,176.56,177.08,195
2026-01-30 05:35:00,176.83,177.1,176.4,176.41,1089
2026-01-30 05:40:00,176.65,176.8,176.42,176.74,342
2026-01-30 05:45:00,176.77,177.01,176.47,177.01,660
