datetime,open,high,low,close,volume
2025-08-08 03:45:00,64.5,64.52,63.9,63.9,2797168
2025-08-08 03:50:00,63.94,64,63.7,63.93,1236404
2025-08-08 03:55:00,63.93,63.95,63.77,63.81,655692
2025-08-08 04:00:00,63.8,63.86,63.71,63.72,747554
2025-08-08 04:05:00,63.72,63.87,63.72,63.83,582842
2025-08-08 04:10:00,63.83,63.85,63.71,63.84,600494
2025-08-08 04:15:00,63.84,63.84,63.69,63.71,602908
2025-08-08 04:20:00,63.69,63.71,63.51,63.61,763379
2025-08-08 04:25:00,63.61,63.65,63.51,63.51,496261
2025-08-08 04:30:00,63.53,63.54,63.33,63.39,957994
2025-08-08 04:35:00,63.39,63.46,63.33,63.46,827226
2025-08-08 04:40:00,63.46,63.5,63.31,63.33,720833
2025-08-08 04:45:00,63.35,63.42,63.33,63.37,403823
2025-08-08 04:50:00,63.39,63.44,63.3,63.4,526813
2025-08-08 04:55:00,63.4,63.41,63.31,63.4,607091
2025-08-08 05:00:00,63.4,63.43,63.3,63.35,498106
2025-08-08 05:05:00,63.32,63.35,63.21,63.22,423249
2025-08-08 05:10:00,63.22,63.26,63.12,63.2,787417
2025-08-08 05:15:00,63.22,63.24,63.05,63.11,774711
2025-08-08 05:20:00,63.13,63.18,63.1,63.15,224975
2025-08-08 05:25:00,63.15,63.17,63.02,63.08,457975
2025-08-08 05:30:00,63.07,63.1,63.05,63.09,399104
2025-08-08 05:35:00,63.1,63.39,63.09,63.32,494170
2025-08-08 05:40:00,63.32,63.6,63.3,63.59,819910
2025-08-08 05:45:00,63.6,63.84,63.55,63.82,973377
2025-08-08 05:50:00,63.8,63.82,63.57,63.62,672173
2025-08-08 05:55:00,63.62,63.62,63.5,63.59,227693
2025-08-08 06:00:00,63.59,63.6,63.5,63.51,131772
2025-08-08 06:05:00,63.51,63.58,63.44,63.51,272632
2025-08-08 06:10:00,63.52,63.55,63.47,63.54,228345
2025-08-08 06:15:00,63.54,63.59,63.42,63.46,225168
2025-08-08 06:20:00,63.46,63.49,63.4,63.43,211867
2025-08-08 06:25:00,63.45,63.56,63.45,63.49,271719
2025-08-08 06:30:00,63.49,63.49,63.36,63.38,188085
2025-08-08 06:35:00,63.38,63.42,63.29,63.35,424232
2025-08-08 06:40:00,63.33,63.48,63.27,63.27,394436
2025-08-08 06:45:00,63.26,63.28,63.11,63.19,516847
2025-08-08 06:50:00,63.18,63.2,63.12,63.16,301749
2025-08-08 06:55:00,63.16,63.24,63.13,63.17,380753
2025-08-08 07:00:00,63.17,63.19,63.12,63.13,380684
2025-08-08 07:05:00,63.13,63.18,63.05,63.09,460098
2025-08-08 07:10:00,63.09,63.44,63.05,63.21,836531
2025-08-08 07:15:00,63.21,63.29,63.2,63.28,197663
2025-08-08 07:20:00,63.28,63.57,63.28,63.48,438419
2025-08-08 07:25:00,63.48,63.55,63.25,63.37,1506633
2025-08-08 07:30:00,63.35,63.37,63.26,63.32,225688
2025-08-08 07:35:00,63.32,63.4,63.22,63.25,159485
2025-08-08 07:40:00,63.24,63.25,63.13,63.18,595403
2025-08-08 07:45:00,63.18,63.19,63.08,63.08,674092
2025-08-08 07:50:00,63.1,63.17,63.03,63.14,670485
2025-08-08 07:55:00,63.14,63.16,63.08,63.12,171356
2025-08-08 08:00:00,63.11,63.16,63.08,63.15,202616
2025-08-08 08:05:00,63.15,63.18,63.14,63.18,193340
2025-08-08 08:10:00,63.18,63.27,63.15,63.2,298278
2025-08-08 08:15:00,63.19,63.22,63.1,63.15,267086
2025-08-08 08:20:00,63.15,63.17,63.1,63.14,85444
2025-08-08 08:25:00,63.14,63.17,63.11,63.15,106335
2025-08-08 08:30:00,63.15,63.26,63.13,63.2,146916
2025-08-08 08:35:00,63.2,63.24,63,63.09,1308997
2025-08-08 08:40:00,63.1,63.1,62.96,63.09,800710
2025-08-08 08:45:00,63.09,63.22,63.09,63.22,184343
2025-08-08 08:50:00,63.21,63.22,63.15,63.17,80520
2025-08-08 08:55:00,63.17,63.18,63.07,63.08,185848
2025-08-08 09:00:00,63.1,63.43,63.05,63.28,749040
2025-08-08 09:05:00,63.28,63.4,63.25,63.3,318306
2025-08-08 09:10:00,63.31,63.5,63.27,63.44,641629
2025-08-08 09:15:00,63.44,63.45,63.35,63.45,457426
2025-08-08 09:20:00,63.45,63.45,63.25,63.33,508026
2025-08-08 09:25:00,63.33,63.34,63.2,63.2,568952
2025-08-08 09:30:00,63.22,63.35,63.2,63.31,971741
2025-08-08 09:35:00,63.3,63.38,63.28,63.34,1006568
2025-08-08 09:40:00,63.34,63.34,63.22,63.24,1253061
