datetime,open,high,low,close,volume
2025-04-15 03:45:00,551.2,551.35,544.25,548,140451
2025-04-15 03:50:00,548,550.3,547.4,549.95,45248
2025-04-15 03:55:00,549.6,550,547.5,548.35,37143
2025-04-15 04:00:00,548.35,550.25,547.05,548.75,52608
2025-04-15 04:05:00,548.65,549.6,548.05,549.45,18140
2025-04-15 04:10:00,549.35,552,549.25,551.45,25354
2025-04-15 04:15:00,551.45,553,550,552.5,36314
2025-04-15 04:20:00,553.1,554.25,552.5,552.5,15177
2025-04-15 04:25:00,552.5,553.25,552,552.45,14437
2025-04-15 04:30:00,552.55,553.5,552.1,552.1,15235
2025-04-15 04:35:00,552.1,553.25,551.6,552.7,12234
2025-04-15 04:40:00,552.75,552.8,552.05,552.55,11852
2025-04-15 04:45:00,552.5,552.8,551.7,551.7,13573
2025-04-15 04:50:00,551.7,551.9,550.45,551.15,19742
2025-04-15 04:55:00,550.7,550.9,550,550.55,12937
2025-04-15 05:00:00,550.55,551.6,550.15,551.45,18224
2025-04-15 05:05:00,551.2,551.6,549.45,550.05,17786
2025-04-15 05:10:00,550.05,550.2,549.1,550.1,13128
2025-04-15 05:15:00,550,550.2,549.05,549.6,8141
2025-04-15 05:20:00,549.55,550.75,548.55,548.55,147804
2025-04-15 05:25:00,548.65,550.7,548.3,549.8,19119
2025-04-15 05:30:00,550,550.05,548.9,549.25,13358
2025-04-15 05:35:00,549.45,549.45,547.5,547.7,21330
2025-04-15 05:40:00,547.65,548,547.1,547.85,20538
2025-04-15 05:45:00,547.8,549.2,547.6,549.1,23474
2025-04-15 05:50:00,549,549.2,548.15,549.1,21331
2025-04-15 05:55:00,549.15,550.05,549.1,549.15,24698
2025-04-15 06:00:00,549.25,549.55,548.8,549.25,14757
2025-04-15 06:05:00,549.3,549.9,548.9,548.9,20840
2025-04-15 06:10:00,549,549.75,548.85,549.1,15226
2025-04-15 06:15:00,549.3,549.45,548.5,549.2,21650
2025-04-15 06:20:00,549.35,549.95,548.8,549.65,11201
2025-04-15 06:25:00,549.7,550.4,549.35,550.1,16261
2025-04-15 06:30:00,550,550.15,549.25,549.3,10057
2025-04-15 06:35:00,549.3,550.05,549.05,549.9,19031
2025-04-15 06:40:00,549.9,550.5,548.8,548.8,16341
2025-04-15 06:45:00,548.8,549.3,548.1,548.3,76989
2025-04-15 06:50:00,548.2,548.8,548.2,548.4,9990
2025-04-15 06:55:00,548.4,548.55,547.9,548.4,12453
2025-04-15 07:00:00,548.1,548.8,548,548.45,11122
2025-04-15 07:05:00,548.5,548.85,548.15,548.85,8759
2025-04-15 07:10:00,548.75,548.75,548,548.05,10580
2025-04-15 07:15:00,548.2,548.3,548.05,548.15,7665
2025-04-15 07:20:00,548.3,548.45,548,548.05,9640
2025-04-15 07:25:00,548.25,548.8,547.9,548.55,13628
2025-04-15 07:30:00,548.6,549.15,548.1,549.1,12547
2025-04-15 07:35:00,549.1,549.2,548.5,548.85,26513
2025-04-15 07:40:00,549.05,549.15,548.8,549.1,8596
2025-04-15 07:45:00,549.1,549.35,548.25,548.65,12643
2025-04-15 07:50:00,548.55,549.2,548.35,549.1,13978
2025-04-15 07:55:00,549.15,550.35,548.9,550,15515
2025-04-15 08:00:00,550.15,550.35,549.6,549.7,21746
2025-04-15 08:05:00,549.95,550.25,549.6,549.65,13975
2025-04-15 08:10:00,549.8,550.3,549.6,550.2,18870
2025-04-15 08:15:00,550,550.8,549.75,549.8,12063
2025-04-15 08:20:00,549.9,550.7,549.85,550.7,15018
2025-04-15 08:25:00,550.75,550.75,550.15,550.55,9773
2025-04-15 08:30:00,550.55,552.45,550.35,551.1,20645
2025-04-15 08:35:00,551.1,552.1,551,551.45,13739
2025-04-15 08:40:00,551.7,551.85,551.2,551.7,12546
2025-04-15 08:45:00,551.85,552.1,551.4,551.4,12200
2025-04-15 08:50:00,551.45,552.3,551.4,551.9,21563
2025-04-15 08:55:00,551.95,552,551.1,551.1,21092
2025-04-15 09:00:00,551.3,551.3,549.9,550.45,18228
2025-04-15 09:05:00,550.4,550.5,549.6,550,12851
2025-04-15 09:10:00,550.05,550.3,549.8,550.1,12141
2025-04-15 09:15:00,550.1,551.2,549.9,551.1,18293
2025-04-15 09:20:00,551.2,553.35,550.9,553.35,29772
2025-04-15 09:25:00,553.2,554.15,552.75,554.05,38144
2025-04-15 09:30:00,554.15,555.2,553.7,554.6,49136
2025-04-15 09:35:00,554.6,556.05,554.6,555.95,40903
2025-04-15 09:40:00,555.95,558.7,555.9,558.2,50616
2025-04-15 09:45:00,558.15,558.4,557.6,558.1,49595
2025-04-15 09:50:00,558.1,558.4,557.8,558.15,40927
2025-04-15 09:55:00,558.1,558.3,556.6,556.75,35723
2025-04-16 03:45:00,559.2,559.75,555.9,558.5,68562
2025-04-16 03:50:00,558.5,561.5,557.5,559.25,44019
2025-04-16 03:55:00,559.25,560,557.9,559.8,14576
2025-04-16 04:00:00,559.95,560.55,557.75,557.8,6765
2025-04-16 04:05:00,557.9,559.75,557.8,559.55,8313
2025-04-16 04:10:00,559.3,559.9,558.4,559.9,8301
2025-04-16 04:15:00,559.9,560.25,558.45,559.15,9147
2025-04-16 04:20:00,559.3,560.2,559.05,559.9,6739
2025-04-16 04:25:00,559.7,560.5,559.45,560.2,19112
2025-04-16 04:30:00,560.2,563.2,560.1,562.7,51625
2025-04-16 04:35:00,562.5,563.85,561.2,563.35,45672
2025-04-16 04:40:00,563.2,565.5,563.05,564.45,47451
2025-04-16 04:45:00,564.45,565.4,561.5,562.4,106860
2025-04-16 04:50:00,562.35,562.6,560.65,561.6,58920
2025-04-16 04:55:00,561.35,563.1,560.8,562.8,42019
2025-04-16 05:00:00,562.75,563.75,562.1,563.05,30256
2025-04-16 05:05:00,562.9,563.2,562.3,562.5,13169
2025-04-16 05:10:00,562.65,563.65,562.5,563.65,27797
2025-04-16 05:15:00,563.6,563.6,562.7,563.2,21887
2025-04-16 05:20:00,563.1,563.3,561.35,562.05,19061
2025-04-16 05:25:00,561.9,562.4,560.9,561.95,39620
2025-04-16 05:30:00,561.6,561.9,560,560.65,14524
2025-04-16 05:35:00,560.5,561.3,558.6,561.3,48272
2025-04-16 05:40:00,561.15,562,560.5,562,7491
2025-04-16 05:45:00,561.95,563.1,561.75,563,18814
2025-04-16 05:50:00,562.9,563.1,562.2,563.05,13407
2025-04-16 05:55:00,562.8,563.05,562.1,562.35,10164
2025-04-16 06:00:00,562.25,562.65,561.7,562.15,7568
2025-04-16 06:05:00,562.05,562.4,561.7,562.2,7794
2025-04-16 06:10:00,561.9,562.25,561.1,562.25,6839
2025-04-16 06:15:00,562.2,562.4,561.85,562.05,10467
2025-04-16 06:20:00,562.05,562.25,561.45,562.25,5634
2025-04-16 06:25:00,562.1,562.65,561.8,562.4,11076
2025-04-16 06:30:00,562.1,562.6,561.85,561.95,6795
2025-04-16 06:35:00,561.9,562.3,561.45,562.3,13275
2025-04-16 06:40:00,562.1,562.35,561.6,561.85,6541
2025-04-16 06:45:00,561.6,562,561.45,561.7,5463
2025-04-16 06:50:00,561.7,562.15,561.5,562.1,8732
2025-04-16 06:55:00,562,562.1,561.5,561.7,4363
2025-04-16 07:00:00,561.55,561.9,561.35,561.9,5808
2025-04-16 07:05:00,561.9,562.15,561.45,561.45,4160
2025-04-16 07:10:00,561.4,562.15,561.25,562.05,10421
2025-04-16 07:15:00,561.9,562.15,561.6,562.15,10119
2025-04-16 07:20:00,562.05,562.15,561.3,561.35,4823
2025-04-16 07:25:00,561.5,561.75,561,561,9709
2025-04-16 07:30:00,561,561.7,560.9,561.45,4695
2025-04-16 07:35:00,561.5,561.6,560.8,561.6,8572
2025-04-16 07:40:00,561.55,561.6,560.65,560.85,13256
2025-04-16 07:45:00,560.75,560.85,560.1,560.45,15773
2025-04-16 07:50:00,560.4,560.45,558.85,559.05,22907
2025-04-16 07:55:00,559.15,559.25,557.6,557.6,17591
2025-04-16 08:00:00,557.9,557.9,555.6,556.6,34226
2025-04-16 08:05:00,556.4,557.2,556.1,556.3,20469
2025-04-16 08:10:00,556.55,557.7,556.3,557.6,9953
2025-04-16 08:15:00,557.5,557.5,556.7,557.1,6157
2025-04-16 08:20:00,557.25,558.2,556.8,558,6632
2025-04-16 08:25:00,557.9,560.15,557.7,559.9,29492
2025-04-16 08:30:00,559.9,560.8,559.75,560.05,22899
2025-04-16 08:35:00,559.9,560.65,559.7,560.3,10876
2025-04-16 08:40:00,560.15,560.5,559.55,559.9,20213
2025-04-16 08:45:00,559.95,560.1,559.65,559.9,10100
2025-04-16 08:50:00,559.75,560,559.2,559.4,6199
2025-04-16 08:55:00,559.3,559.95,558.8,559.6,20389
2025-04-16 09:00:00,559.6,559.9,559.2,559.2,10130
2025-04-16 09:05:00,559.2,559.2,558.1,558.85,11049
2025-04-16 09:10:00,558.8,559.5,558.4,559,8069
2025-04-16 09:15:00,558.95,559.95,558.7,559.5,17631
2025-04-16 09:20:00,559.5,559.95,559.25,559.55,5274
2025-04-16 09:25:00,559.35,559.6,558.9,559.55,14965
2025-04-16 09:30:00,559.55,559.95,559.35,559.55,66912
2025-04-16 09:35:00,559.55,559.6,559.3,559.5,29071
2025-04-16 09:40:00,559.6,559.7,558.5,558.7,39753
2025-04-16 09:45:00,558.7,560,558.4,559.55,67603
2025-04-16 09:50:00,559.55,559.6,559.4,559.6,45440
2025-04-16 09:55:00,559.6,559.7,558.4,558.4,39914
2025-04-17 03:45:00,558.9,561.3,556.9,559.35,34185
2025-04-17 03:50:00,559.1,559.1,554.7,555.35,19090
2025-04-17 03:55:00,555.25,556.8,554.4,554.85,28633
2025-04-17 04:00:00,554.9,556.45,553.8,555.9,18946
2025-04-17 04:05:00,555.7,556.5,554.85,555.45,10043
2025-04-17 04:10:00,555.5,557.55,555.2,557,18496
2025-04-17 04:15:00,557,558.1,556.8,557.2,9285
2025-04-17 04:20:00,557.1,557.7,556.65,557.3,5719
2025-04-17 04:25:00,557,557,555.7,556.1,4887
2025-04-17 04:30:00,556.1,556.1,553.9,554.65,13474
2025-04-17 04:35:00,554.7,554.95,552.9,553.3,14124
2025-04-17 04:40:00,553.2,555.9,552,555.25,42753
2025-04-17 04:45:00,555.45,556.4,555.15,555.2,9004
2025-04-17 04:50:00,555.35,556.5,555.1,556.3,8926
2025-04-17 04:55:00,556.1,556.75,555.5,556.25,10025
2025-04-17 05:00:00,556.05,556.55,555.5,556.45,10033
2025-04-17 05:05:00,556.35,556.45,555.5,555.55,4825
2025-04-17 05:10:00,555.3,557.55,555.3,556.6,6551
2025-04-17 05:15:00,556.5,557,556.2,556.65,4922
2025-04-17 05:20:00,556.6,556.6,555.25,555.3,4928
2025-04-17 05:25:00,555.9,556,554.8,555.2,6607
