datetime,open,high,low,close,volume
2025-04-28 03:45:00,14.12,14.15,13.91,13.95,473295
2025-04-28 03:50:00,13.95,13.97,13.8,13.83,198954
2025-04-28 03:55:00,13.82,13.99,13.79,13.92,214818
2025-04-28 04:00:00,13.94,14.1,13.94,14.09,146599
2025-04-28 04:05:00,14.1,14.11,14.07,14.07,155135
2025-04-28 04:10:00,14.06,14.07,13.99,14.01,59742
2025-04-28 04:15:00,13.99,14.03,13.99,14,129337
2025-04-28 04:20:00,14.01,14.02,13.93,13.96,44500
2025-04-28 04:25:00,13.96,13.99,13.92,13.99,27321
2025-04-28 04:30:00,13.99,14.02,13.97,14.02,34708
2025-04-28 04:35:00,14.02,14.04,14,14.03,22483
2025-04-28 04:40:00,14,14.03,14,14.02,22957
2025-04-28 04:45:00,14.02,14.03,14,14.03,72740
2025-04-28 04:50:00,14.03,14.04,14.01,14.02,17063
2025-04-28 04:55:00,14.02,14.03,14,14.01,36350
2025-04-28 05:00:00,14.01,14.01,13.99,14,12813
2025-04-28 05:05:00,13.99,14,13.98,13.98,11173
2025-04-28 05:10:00,14,14,13.97,13.98,9428
2025-04-28 05:15:00,13.98,14.01,13.98,14.01,11653
2025-04-28 05:20:00,14.01,14.02,14,14.02,15996
2025-04-28 05:25:00,14.02,14.04,14,14,23674
2025-04-28 05:30:00,14.02,14.03,13.98,14.01,38059
2025-04-28 05:35:00,14.01,14.07,13.99,14.07,77676
2025-04-28 05:40:00,14.07,14.09,14.05,14.07,30795
2025-04-28 05:45:00,14.07,14.07,14.01,14.03,21663
2025-04-28 05:50:00,14.03,14.03,14,14.01,44563
2025-04-28 05:55:00,14.03,14.03,14,14.03,3804
2025-04-28 06:00:00,14.03,14.04,14.02,14.02,4961
2025-04-28 06:05:00,14.02,14.04,14.01,14.04,14865
2025-04-28 06:10:00,14.04,14.05,14.02,14.02,20013
2025-04-28 06:15:00,14.05,14.07,14.02,14.04,19353
2025-04-28 06:20:00,14.04,14.05,14.02,14.02,14129
2025-04-28 06:25:00,14.05,14.05,14.02,14.04,8528
2025-04-28 06:30:00,14.04,14.05,14.02,14.04,18604
2025-04-28 06:35:00,14.04,14.04,14.02,14.02,1767
2025-04-28 06:40:00,14.04,14.04,14.02,14.04,3703
2025-04-28 06:45:00,14.04,14.04,14.01,14.03,12574
2025-04-28 06:50:00,14.02,14.06,14.02,14.06,47219
2025-04-28 06:55:00,14.06,14.06,14.02,14.05,9354
2025-04-28 07:00:00,14.05,14.05,14.03,14.04,3279
2025-04-28 07:05:00,14.02,14.06,14.02,14.06,30183
2025-04-28 07:10:00,14.04,14.06,14.03,14.06,7108
2025-04-28 07:15:00,14.04,14.06,14.04,14.05,9258
2025-04-28 07:20:00,14.04,14.06,14.04,14.06,3353
2025-04-28 07:25:00,14.04,14.06,14.03,14.05,19176
2025-04-28 07:30:00,14.05,14.05,14.03,14.04,18149
2025-04-28 07:35:00,14.04,14.04,14,14,25706
2025-04-28 07:40:00,14.01,14.02,14,14.01,17141
2025-04-28 07:45:00,14.01,14.01,13.97,13.97,60002
2025-04-28 07:50:00,13.97,13.99,13.97,13.99,1392
2025-04-28 07:55:00,13.98,14,13.97,13.97,12584
2025-04-28 08:00:00,13.99,14,13.98,14,7880
2025-04-28 08:05:00,14,14.03,14,14.03,27430
2025-04-28 08:10:00,14,14.03,14,14,6237
2025-04-28 08:15:00,14.03,14.05,14.02,14.03,54570
2025-04-28 08:20:00,14.03,14.04,14.01,14.02,2044
2025-04-28 08:25:00,14.02,14.03,14,14.02,2765
2025-04-28 08:30:00,14.02,14.02,14,14.01,3473
2025-04-28 08:35:00,14.01,14.01,14,14,1713
2025-04-28 08:40:00,14.01,14.01,14,14.01,16785
2025-04-28 08:45:00,14.01,14.03,14,14.01,12016
2025-04-28 08:50:00,14.01,14.01,13.97,14,22622
2025-04-28 08:55:00,14,14,13.98,14,3843
2025-04-28 09:00:00,14,14.01,13.98,13.98,12654
2025-04-28 09:05:00,13.99,13.99,13.97,13.97,14646
2025-04-28 09:10:00,13.97,13.99,13.97,13.98,4708
2025-04-28 09:15:00,13.98,13.99,13.97,13.98,24200
2025-04-28 09:20:00,13.99,14.02,13.99,14,18436
2025-04-28 09:25:00,14,14,13.98,14,9023
2025-04-28 09:30:00,13.98,14,13.98,13.98,20826
2025-04-28 09:35:00,13.99,14,13.97,14,43913
2025-04-28 09:40:00,13.98,14.02,13.97,14.01,111262
2025-04-28 09:45:00,13.99,14.02,13.99,13.99,53842
2025-04-28 09:50:00,14.02,14.1,14,14.06,128085
2025-04-28 09:55:00,14.07,14.14,14.05,14.14,54215
2025-04-29 03:45:00,14.09,14.23,14.03,14.18,359721
2025-04-29 03:50:00,14.2,14.22,14.15,14.18,38787
2025-04-29 03:55:00,14.17,14.2,14.12,14.12,85531
2025-04-29 04:00:00,14.15,14.18,14.1,14.18,71537
2025-04-29 04:05:00,14.18,14.2,14.15,14.17,139913
2025-04-29 04:10:00,14.17,14.18,14.04,14.07,89374
2025-04-29 04:15:00,14.06,14.1,14.04,14.05,42157
2025-04-29 04:20:00,14.05,14.06,13.99,14.02,116805
2025-04-29 04:25:00,14.03,14.07,14.03,14.05,69706
2025-04-29 04:30:00,14.07,14.07,14.03,14.04,61409
2025-04-29 04:35:00,14.05,14.05,14.02,14.04,12197
2025-04-29 04:40:00,14.04,14.04,14,14.03,68920
2025-04-29 04:45:00,14,14.02,13.99,13.99,81129
2025-04-29 04:50:00,14,14.02,13.97,13.97,66626
2025-04-29 04:55:00,14,14,13.97,13.98,18958
2025-04-29 05:00:00,13.98,13.98,13.95,13.97,54654
2025-04-29 05:05:00,13.97,14,13.95,13.97,41686
2025-04-29 05:10:00,14,14,13.97,13.98,15329
2025-04-29 05:15:00,13.98,13.99,13.95,13.99,113148
2025-04-29 05:20:00,13.99,14,13.98,14,16193
2025-04-29 05:25:00,14,14,13.98,14,1344
2025-04-29 05:30:00,13.98,14,13.98,13.99,4494
2025-04-29 05:35:00,13.99,14,13.99,13.99,3547
2025-04-29 05:40:00,14,14,13.98,13.98,39841
2025-04-29 05:45:00,14,14,13.98,14,7571
2025-04-29 05:50:00,14,14,13.98,14,2744
2025-04-29 05:55:00,13.99,14,13.98,14,8451
2025-04-29 06:00:00,14,14,13.96,13.98,52610
