datetime,open,high,low,close,volume
2025-11-03 03:45:00,342,346.5,341.1,345.55,496882
2025-11-03 03:50:00,345.5,346,344.2,345.05,105671
2025-11-03 03:55:00,345.25,345.4,344.1,344.55,74443
2025-11-03 04:00:00,344.35,346.25,343.55,345.2,195846
2025-11-03 04:05:00,345.2,345.9,344.95,345.4,51839
2025-11-03 04:10:00,345.25,345.7,344.95,345.35,108891
2025-11-03 04:15:00,345.6,345.6,344.5,344.75,63765
2025-11-03 04:20:00,344.85,345.35,344.5,345.2,24874
2025-11-03 04:25:00,345.2,345.2,343.55,343.75,71299
2025-11-03 04:30:00,343.75,344.3,341.6,342,136987
2025-11-03 04:35:00,342,342.45,341.55,342.05,53982
2025-11-03 04:40:00,342.15,342.45,340.45,341.6,154878
2025-11-03 04:45:00,341.6,341.6,340.7,341,47240
2025-11-03 04:50:00,340.9,341.1,340.2,340.75,61530
2025-11-03 04:55:00,340.95,341,340.5,340.9,36515
2025-11-03 05:00:00,341,341,339.6,340.1,82971
2025-11-03 05:05:00,340.2,340.35,339.6,340.25,75510
2025-11-03 05:10:00,340.25,341.75,340.1,341.45,40920
2025-11-03 05:15:00,341.45,341.55,341.05,341.5,21293
2025-11-03 05:20:00,341.5,341.5,340.5,340.9,17582
2025-11-03 05:25:00,340.9,340.9,340.2,340.7,20402
2025-11-03 05:30:00,340.85,340.9,340.5,340.9,19562
2025-11-03 05:35:00,340.9,341.2,340.65,340.85,28361
2025-11-03 05:40:00,340.85,341.4,340.55,340.65,29393
2025-11-03 05:45:00,340.75,340.95,340.5,340.75,15086
2025-11-03 05:50:00,340.7,341,340.6,341,8940
2025-11-03 05:55:00,340.9,341.15,340.6,341.15,20958
2025-11-03 06:00:00,341.15,342.45,341,342.05,63233
2025-11-03 06:05:00,342.1,342.6,341.95,342.6,29214
2025-11-03 06:10:00,342.6,343.2,342.25,343,49831
2025-11-03 06:15:00,343,344.3,342.7,343.95,81098
2025-11-03 06:20:00,343.9,344.9,343.9,344.3,73358
2025-11-03 06:25:00,344.15,344.25,342.8,342.85,53237
2025-11-03 06:30:00,342.8,342.8,341.9,342,44050
2025-11-03 06:35:00,342,342.45,341.8,341.8,30970
2025-11-03 06:40:00,341.8,342.3,341.8,342.2,13111
2025-11-03 06:45:00,342,342.55,342,342.3,13633
2025-11-03 06:50:00,342.4,342.65,342,342.15,10417
2025-11-03 06:55:00,342.15,342.9,342,342.7,24356
2025-11-03 07:00:00,342.85,343.6,342.7,343.3,22194
2025-11-03 07:05:00,343.05,343.25,342.5,342.65,10572
2025-11-03 07:10:00,342.5,342.7,342.25,342.5,6117
2025-11-03 07:15:00,342.5,342.85,342.25,342.8,9880
2025-11-03 07:20:00,342.7,342.75,342.35,342.4,7467
2025-11-03 07:25:00,342.4,342.75,342.4,342.6,5253
