datetime,open,high,low,close,volume
2025-04-25 03:45:00,319.1,319.75,312.14,313.39,12507
2025-04-25 03:50:00,313.14,313.35,310.89,311.95,5782
2025-04-25 03:55:00,311.45,312.3,310.5,311.64,5357
2025-04-25 04:00:00,311.5,311.55,309.45,309.75,5416
2025-04-25 04:05:00,309.6,310.1,309,309.89,2974
2025-04-25 04:10:00,309.6,309.89,308.14,309,12924
2025-04-25 04:15:00,309,310,308.8,308.8,1553
2025-04-25 04:20:00,308.8,309.1,307.5,308.14,1941
2025-04-25 04:25:00,308.14,308.14,305.64,306.39,4957
2025-04-25 04:30:00,306.39,306.89,305.8,306.25,1684
2025-04-25 04:35:00,305.95,307.3,305.35,306.25,1603
2025-04-25 04:40:00,306.3,308.45,306.3,308.3,1180
2025-04-25 04:45:00,308.25,308.3,307.25,307.95,1094
2025-04-25 04:50:00,307.7,307.85,306.14,306.85,2871
2025-04-25 04:55:00,307.1,307.1,304.1,304.8,2390
2025-04-25 05:00:00,304.8,305.3,304.2,304.6,299
2025-04-25 05:05:00,304.39,305,304.2,304.64,327
2025-04-25 05:10:00,304.2,306,303.3,305.6,2462
2025-04-25 05:15:00,305.6,306.55,305,305.5,533
2025-04-25 05:20:00,305.2,305.5,304.5,304.75,293
2025-04-25 05:25:00,304.75,304.75,303.85,304.45,535
2025-04-25 05:30:00,304.45,304.8,303.14,303.14,328
2025-04-25 05:35:00,303.45,304.25,303.45,304.1,253
2025-04-25 05:40:00,304.1,304.95,303.7,304.14,2111
2025-04-25 05:45:00,303.95,304,302.8,303,1385
2025-04-25 05:50:00,303,303.5,302.14,302.7,1279
2025-04-25 05:55:00,302.7,303.45,302.35,303.14,260
2025-04-25 06:00:00,303.2,303.55,302.64,302.64,532
2025-04-25 06:05:00,302.7,303.05,302.39,303.05,374
2025-04-25 06:10:00,302.75,303.45,302.5,302.85,1877
2025-04-25 06:15:00,302.89,303.25,299.1,300.14,15219
2025-04-25 06:20:00,300.14,301.25,300,300.8,3236
2025-04-25 06:25:00,301.05,301.95,301.05,301.8,331
2025-04-25 06:30:00,301.75,302.35,301.7,302.35,1809
2025-04-25 06:35:00,302.05,302.75,302.05,302.05,213
2025-04-25 06:40:00,302.6,304,302.6,303.89,622
2025-04-25 06:45:00,303.85,304.95,303.05,304.95,4276
2025-04-25 06:50:00,304.39,304.39,303.7,304.14,255
2025-04-25 06:55:00,304.05,304.2,303.75,304.2,248
2025-04-25 07:00:00,303.85,304.64,303.8,304.3,272
2025-04-25 07:05:00,304.3,305.64,304.3,305.05,849
2025-04-25 07:10:00,305,305.35,304.3,304.3,429
2025-04-25 07:15:00,304.6,305.6,304.3,304.75,653
2025-04-25 07:20:00,304.8,305,304.25,304.55,206
2025-04-25 07:25:00,304.55,305.7,304.55,304.95,734
2025-04-25 07:30:00,304.95,306.2,304.95,305.8,814
2025-04-25 07:35:00,305.8,305.95,305.3,305.3,1638
2025-04-25 07:40:00,305.3,305.89,305.14,305.89,979
2025-04-25 07:45:00,305.85,306.8,305.3,305.95,1027
2025-04-25 07:50:00,305.95,307.25,305.95,306.55,876
2025-04-25 07:55:00,306.55,306.55,305.75,305.75,393
2025-04-25 08:00:00,305.39,306.5,305.3,305.89,1049
2025-04-25 08:05:00,306,306.85,304.25,304.25,4359
2025-04-25 08:10:00,304.8,305.85,304.75,305.75,377
2025-04-25 08:15:00,305.7,305.8,305.3,305.64,214
2025-04-25 08:20:00,305.7,306,305,305.2,7796
2025-04-25 08:25:00,305.2,305.35,304.64,304.64,558
2025-04-25 08:30:00,305.14,306,304.5,305.2,14314
2025-04-25 08:35:00,305,306,304.5,304.5,3292
2025-04-25 08:40:00,304.5,304.55,303.2,303.95,1695
2025-04-25 08:45:00,304.25,304.7,303.89,304.35,267
2025-04-25 08:50:00,304.35,304.55,303.35,304.14,520
2025-04-25 08:55:00,304.14,304.7,303.85,304.55,120
2025-04-25 09:00:00,304.55,304.85,303.2,303.55,5046
2025-04-25 09:05:00,303.55,303.85,303.14,303.55,317
2025-04-25 09:10:00,303.55,304,303.5,304,83
2025-04-25 09:15:00,304,304.3,303.64,304.3,104
2025-04-25 09:20:00,304.3,304.64,303.85,303.89,224
2025-04-25 09:25:00,304,305,303.85,304.05,1102
2025-04-25 09:30:00,304.3,304.39,300.89,302.1,14762
2025-04-25 09:35:00,302.39,303.64,302.1,302.55,2219
2025-04-25 09:40:00,303.05,303.64,299.45,299.5,19503
2025-04-25 09:45:00,300.8,301,298.3,300.25,9872
2025-04-25 09:50:00,300.05,300.55,299,299.8,4721
2025-04-25 09:55:00,299.75,300.55,298.55,299,8037
2025-04-28 03:45:00,300.35,304,297.6,301.6,22644
2025-04-28 03:50:00,301.8,302.1,299.3,299.3,6429
2025-04-28 03:55:00,299.64,303,299.6,303,2710
2025-04-28 04:00:00,303.14,308.95,303.14,307.3,16169
2025-04-28 04:05:00,307.14,309,305.75,305.75,10616
2025-04-28 04:10:00,305.8,306.45,304.45,304.89,2473
2025-04-28 04:15:00,304.85,306.89,304.55,304.89,1979
2025-04-28 04:20:00,304.5,304.5,303.2,303.55,1275
2025-04-28 04:25:00,303.95,305.45,302.8,304.95,4042
2025-04-28 04:30:00,304.85,305.2,304.05,304.45,1673
2025-04-28 04:35:00,304.8,307.55,304.45,307.3,4832
2025-04-28 04:40:00,307.3,307.64,306.55,307.6,939
2025-04-28 04:45:00,307.6,308.55,306.25,306.25,7264
2025-04-28 04:50:00,306.64,306.8,306,306.05,748
2025-04-28 04:55:00,305.64,306,304.7,304.7,2090
2025-04-28 05:00:00,304.7,305.7,304.7,305.55,1308
2025-04-28 05:05:00,305.14,306.85,305.14,306.55,1842
2025-04-28 05:10:00,306.55,306.64,305.95,305.95,69
2025-04-28 05:15:00,305.8,306.39,305.1,305.8,1499
2025-04-28 05:20:00,305.85,306.64,305.8,306.64,740
2025-04-28 05:25:00,306.25,306.55,306.05,306.55,248
2025-04-28 05:30:00,306.8,306.95,305.85,306.7,1793
