datetime,open,high,low,close,volume
2026-03-11 03:45:00,24.3,24.88,24.22,24.85,3916389
2026-03-11 03:50:00,24.88,25.04,24.78,24.84,3128226
2026-03-11 03:55:00,24.84,24.84,24.65,24.76,1920340
2026-03-11 04:00:00,24.78,24.8,24.65,24.76,1157701
2026-03-11 04:05:00,24.75,24.76,24.61,24.63,947225
2026-03-11 04:10:00,24.64,24.75,24.6,24.73,932519
2026-03-11 04:15:00,24.73,24.8,24.67,24.73,1065820
2026-03-11 04:20:00,24.73,24.74,24.65,24.71,462243
2026-03-11 04:25:00,24.72,24.81,24.7,24.78,686340
2026-03-11 04:30:00,24.76,24.82,24.72,24.8,564737
2026-03-11 04:35:00,24.79,24.8,24.68,24.69,367554
2026-03-11 04:40:00,24.7,24.72,24.66,24.7,336035
2026-03-11 04:45:00,24.69,24.69,24.63,24.67,475749
2026-03-11 04:50:00,24.67,24.73,24.63,24.7,351600
2026-03-11 04:55:00,24.7,24.7,24.63,24.66,169837
2026-03-11 05:00:00,24.67,24.69,24.57,24.6,631760
2026-03-11 05:05:00,24.59,24.6,24.54,24.56,415565
2026-03-11 05:10:00,24.57,24.6,24.53,24.56,299091
2026-03-11 05:15:00,24.56,24.56,24.45,24.51,650749
2026-03-11 05:20:00,24.5,24.54,24.48,24.54,267109
2026-03-11 05:25:00,24.53,24.59,24.5,24.58,318313
2026-03-11 05:30:00,24.59,24.59,24.52,24.57,361815
2026-03-11 05:35:00,24.57,24.62,24.55,24.61,151416
2026-03-11 05:40:00,24.59,24.61,24.52,24.53,214129
2026-03-11 05:45:00,24.53,24.57,24.51,24.52,411872
2026-03-11 05:50:00,24.54,24.59,24.52,24.54,245681
2026-03-11 05:55:00,24.53,24.61,24.53,24.61,186578
2026-03-11 06:00:00,24.61,24.65,24.5,24.51,617255
2026-03-11 06:05:00,24.52,24.54,24.46,24.49,402816
2026-03-11 06:10:00,24.49,24.52,24.46,24.49,213582
2026-03-11 06:15:00,24.49,24.54,24.48,24.5,137902
2026-03-11 06:20:00,24.5,24.55,24.48,24.55,125748
2026-03-11 06:25:00,24.54,24.54,24.5,24.53,87552
