datetime,open,high,low,close,volume
2025-03-17 03:45:00,283.95,285.8,279.25,281,143185
2025-03-17 03:50:00,281,281.5,280,281.25,49545
2025-03-17 03:55:00,281.25,283.55,281.25,282.3,51774
2025-03-17 04:00:00,282.5,284.85,282.15,284.35,54057
2025-03-17 04:05:00,284.35,285.7,283.5,284.05,50590
2025-03-17 04:10:00,284.05,284.45,282.1,284.1,32573
2025-03-17 04:15:00,284.1,286.45,283.4,285.2,44205
2025-03-17 04:20:00,285.4,285.85,283.25,283.6,18801
2025-03-17 04:25:00,283.75,284.4,282.85,282.9,31985
2025-03-17 04:30:00,283.05,283.05,281.65,282.45,29446
2025-03-17 04:35:00,282.25,282.75,281.4,281.85,13138
2025-03-17 04:40:00,281.65,282.05,280.6,281.15,36376
2025-03-17 04:45:00,281.3,281.7,280.9,281,25614
2025-03-17 04:50:00,281.2,281.2,280.3,280.8,12665
2025-03-17 04:55:00,280.55,281.45,280.55,281,13336
2025-03-17 05:00:00,281.15,281.5,280.9,281,10450
2025-03-17 05:05:00,281,281.3,280.75,281,4888
2025-03-17 05:10:00,281,281.45,280.7,281.35,7045
2025-03-17 05:15:00,281.35,281.75,281.15,281.3,8260
2025-03-17 05:20:00,281.45,281.9,281.35,281.6,8440
2025-03-17 05:25:00,281.7,283,281.65,282.7,11632
2025-03-17 05:30:00,282.7,282.85,282,282.15,10876
2025-03-17 05:35:00,282.15,282.15,281.3,282,4756
2025-03-17 05:40:00,282,282,281.1,281.55,9567
2025-03-17 05:45:00,281.75,281.8,281.1,281.25,5520
2025-03-17 05:50:00,281.5,281.5,281.1,281.2,8529
2025-03-17 05:55:00,281.4,281.55,281,281,6672
2025-03-17 06:00:00,281,281,280.5,280.8,11869
2025-03-17 06:05:00,280.85,281.2,280.5,281.15,6677
2025-03-17 06:10:00,281.15,281.25,280.7,280.75,5426
2025-03-17 06:15:00,280.95,281.2,280.75,280.85,6676
2025-03-17 06:20:00,280.85,280.85,280.5,280.75,9461
2025-03-17 06:25:00,280.75,280.75,280.1,280.7,15348
2025-03-17 06:30:00,280.6,281,280.55,280.8,2848
2025-03-17 06:35:00,280.75,280.8,280.5,280.65,4869
2025-03-17 06:40:00,280.65,280.9,280.5,280.8,3923
2025-03-17 06:45:00,280.8,280.8,280,280.1,24997
2025-03-17 06:50:00,280.1,280.1,279.5,279.8,6994
2025-03-17 06:55:00,279.6,279.6,278.5,279.2,26595
2025-03-17 07:00:00,279.2,279.3,278.65,278.8,3197
2025-03-17 07:05:00,278.8,278.85,278,278.65,33152
2025-03-17 07:10:00,278.5,278.85,277.9,278.75,12433
2025-03-17 07:15:00,278.5,278.6,278.2,278.45,7523
