datetime,open,high,low,close,volume
2025-04-16 03:45:00,362,364.5,359.25,364.05,658943
2025-04-16 03:50:00,364,365.7,362.7,364.1,362877
2025-04-16 03:55:00,364.2,364.2,363,363.1,137765
2025-04-16 04:00:00,363.25,363.7,361.6,362.6,185982
2025-04-16 04:05:00,362.5,364.5,362.25,364.3,109591
2025-04-16 04:10:00,364.3,366.2,363.2,365.4,298071
2025-04-16 04:15:00,365.2,365.45,362.7,362.95,137979
2025-04-16 04:20:00,362.75,363.5,362.3,362.8,105929
2025-04-16 04:25:00,362.95,363.15,362.35,362.85,41606
2025-04-16 04:30:00,363,363,362.4,362.4,53367
2025-04-16 04:35:00,362.4,362.95,362.3,362.55,43717
2025-04-16 04:40:00,362.6,363.15,362.25,362.4,38064
2025-04-16 04:45:00,362.5,362.55,360.55,360.85,106071
2025-04-16 04:50:00,360.85,361.15,359.15,359.5,128311
2025-04-16 04:55:00,359.45,360.75,359.25,360.5,51660
2025-04-16 05:00:00,360.7,361.5,360.5,361.1,34932
2025-04-16 05:05:00,361.3,361.3,360.15,360.3,31599
2025-04-16 05:10:00,360.25,361.1,360.2,360.85,33124
2025-04-16 05:15:00,360.85,361.15,360.6,361.1,21953
2025-04-16 05:20:00,361.1,361.45,360.9,361.1,23455
2025-04-16 05:25:00,361.15,361.95,361.1,361.75,36916
2025-04-16 05:30:00,361.75,361.75,361.2,361.35,31215
2025-04-16 05:35:00,361.35,361.8,361.05,361.75,44630
2025-04-16 05:40:00,361.75,363.45,361.55,363.2,76037
2025-04-16 05:45:00,363.2,363.3,362.9,363.05,29674
2025-04-16 05:50:00,363.2,363.2,363,363.05,21495
2025-04-16 05:55:00,363,363.1,362.85,362.9,26415
2025-04-16 06:00:00,362.85,363.15,362.8,363.05,41360
2025-04-16 06:05:00,363.15,363.15,362.8,363,29520
2025-04-16 06:10:00,363.05,364.45,362.85,363.8,135832
2025-04-16 06:15:00,363.9,363.9,363,363.25,28212
2025-04-16 06:20:00,363.3,365.7,362.65,365,183507
2025-04-16 06:25:00,365,365.7,363.95,365,110598
2025-04-16 06:30:00,364.8,365.6,364.5,364.6,72566
2025-04-16 06:35:00,364.6,365.7,364.6,365,53966
2025-04-16 06:40:00,365,365.25,364.8,365,30422
2025-04-16 06:45:00,365,365.35,364.7,365.3,34447
2025-04-16 06:50:00,365.2,367.55,365,366.75,269560
2025-04-16 06:55:00,366.85,368.2,366.3,368.1,178269
2025-04-16 07:00:00,368.1,369.55,367.7,368.3,246562
2025-04-16 07:05:00,368.3,368.85,367,367,90857
2025-04-16 07:10:00,367,367.35,366.75,367,73678
2025-04-16 07:15:00,367,367.4,366.75,367.1,55727
2025-04-16 07:20:00,367.1,367.45,367,367.25,30425
2025-04-16 07:25:00,367.25,367.95,367,367.5,40451
2025-04-16 07:30:00,367.6,368.25,367.1,367.1,43558
2025-04-16 07:35:00,367.2,367.25,366.1,366.4,65923
2025-04-16 07:40:00,366.2,368.3,366.1,367.7,112252
2025-04-16 07:45:00,367.9,367.95,367,367,31923
2025-04-16 07:50:00,367.15,367.4,366.9,367,197487
2025-04-16 07:55:00,367,367.8,365.75,367,143700
2025-04-16 08:00:00,367.1,367.25,367,367,98344
2025-04-16 08:05:00,367.1,367.2,366.2,366.2,68480
2025-04-16 08:10:00,366.4,366.6,366.05,366.25,28790
2025-04-16 08:15:00,366.2,366.5,365.4,365.6,41061
2025-04-16 08:20:00,365.75,366.2,365.5,366.2,35295
2025-04-16 08:25:00,366.05,367.15,366.05,366.6,29517
2025-04-16 08:30:00,366.8,367.9,366.6,367.8,69997
2025-04-16 08:35:00,367.8,367.95,366.55,366.7,31624
2025-04-16 08:40:00,366.7,367,366.4,366.65,24225
2025-04-16 08:45:00,366.5,366.9,366,366.75,27503
2025-04-16 08:50:00,366.75,367.25,366.35,366.6,36554
2025-04-16 08:55:00,366.6,366.85,366.4,366.75,19329
2025-04-16 09:00:00,366.75,367.25,366.55,367,20194
2025-04-16 09:05:00,367.05,367.4,366.65,367.2,22061
