datetime,open,high,low,close,volume
2024-10-18 03:45:00,206.31,206.35,202.5,203.38,161441
2024-10-18 03:50:00,203.39,203.68,201.28,201.94,116434
2024-10-18 03:55:00,202.11,203.9,201.46,203.4,82792
2024-10-18 04:00:00,203.25,205.42,203,205.25,59625
2024-10-18 04:05:00,205.08,206.24,204.05,204.55,83327
2024-10-18 04:10:00,204.53,205.43,203.6,203.75,30274
2024-10-18 04:15:00,203.75,205.99,203.75,205.79,42188
2024-10-18 04:20:00,205.79,205.79,204.25,204.25,16534
2024-10-18 04:25:00,204.37,204.41,203.6,204.24,24932
2024-10-18 04:30:00,204.09,204.17,203.13,203.71,32650
2024-10-18 04:35:00,203.5,204.14,203.4,203.7,13031
2024-10-18 04:40:00,203.83,205.04,203.81,204.68,52571
2024-10-18 04:45:00,204.68,204.91,204.25,204.63,13315
2024-10-18 04:50:00,204.66,205.27,204.41,205.2,12194
2024-10-18 04:55:00,205.22,205.8,205.09,205.61,19330
2024-10-18 05:00:00,205.65,206.65,205.65,206.06,33187
2024-10-18 05:05:00,205.91,206.07,203.96,204.32,66597
2024-10-18 05:10:00,204.16,205.7,204.09,205.02,18739
2024-10-18 05:15:00,205,205.89,204.8,205.45,18157
2024-10-18 05:20:00,205.31,205.5,204.69,204.71,16325
2024-10-18 05:25:00,204.67,205.28,204.4,204.8,8929
2024-10-18 05:30:00,204.8,204.8,204.21,204.27,8404
2024-10-18 05:35:00,204.24,204.53,204,204.05,9335
2024-10-18 05:40:00,204.16,205.31,204.07,205.31,9472
2024-10-18 05:45:00,205.11,205.62,204.19,204.81,12728
2024-10-18 05:50:00,204.88,205.39,204.63,205.15,18020
2024-10-18 05:55:00,205.15,205.64,205,205.46,8150
2024-10-18 06:00:00,205.61,205.99,205.42,205.6,6659
2024-10-18 06:05:00,205.6,206.68,205.46,206.52,19335
2024-10-18 06:10:00,206.65,206.85,206.04,206.13,12682
2024-10-18 06:15:00,206.17,206.32,205.57,205.64,9728
2024-10-18 06:20:00,205.61,205.83,205.35,205.63,10348
2024-10-18 06:25:00,205.5,205.8,205.4,205.52,5705
2024-10-18 06:30:00,205.56,206.09,205.44,206.06,6184
2024-10-18 06:35:00,206.06,206.51,205.86,206.37,10079
2024-10-18 06:40:00,206.34,206.34,205.4,205.48,4960
2024-10-18 06:45:00,205.63,205.63,205.35,205.42,6992
2024-10-18 06:50:00,205.5,205.83,205.21,205.35,12732
2024-10-18 06:55:00,205.23,205.79,205.11,205.78,3964
2024-10-18 07:00:00,205.77,205.94,205.55,205.76,4527
2024-10-18 07:05:00,205.87,205.95,205.7,205.8,2334
2024-10-18 07:10:00,205.7,205.73,205.33,205.48,6088
2024-10-18 07:15:00,205.63,205.8,204.92,205.66,18894
2024-10-18 07:20:00,205.77,206.15,205.27,205.38,22912
2024-10-18 07:25:00,205.37,205.91,205.21,205.43,2338
2024-10-18 07:30:00,205.23,205.47,205,205.47,6554
2024-10-18 07:35:00,205.32,205.49,205.08,205.14,3771
2024-10-18 07:40:00,205.26,205.27,204.21,204.86,15091
2024-10-18 07:45:00,204.84,205.36,204.6,205.18,4281
2024-10-18 07:50:00,205.13,205.46,205.08,205.4,2771
2024-10-18 07:55:00,205.4,205.46,205,205.27,9342
2024-10-18 08:00:00,205.25,205.28,204.91,205.18,14042
2024-10-18 08:05:00,205.25,205.44,204.49,204.51,19392
2024-10-18 08:10:00,204.67,205,204.49,205,6167
2024-10-18 08:15:00,204.84,205.31,204.65,204.8,3625
2024-10-18 08:20:00,204.8,204.95,204.65,204.73,6521
2024-10-18 08:25:00,204.89,204.99,204.44,204.65,15195
2024-10-18 08:30:00,204.66,204.7,204.41,204.6,3445
2024-10-18 08:35:00,204.7,204.7,204.01,204.5,25028
2024-10-18 08:40:00,204.66,205.19,204.66,204.9,8135
2024-10-18 08:45:00,204.9,205.42,204.73,205.14,28529
2024-10-18 08:50:00,205.04,207.17,204.93,207.17,87053
2024-10-18 08:55:00,207,207.57,206.5,207.43,45922
2024-10-18 09:00:00,207.13,207.25,205.55,205.74,45345
2024-10-18 09:05:00,205.6,205.84,204.67,205,63042
2024-10-18 09:10:00,205,205.59,204.81,205.06,10870
2024-10-18 09:15:00,205.09,205.31,203.7,203.93,66149
2024-10-18 09:20:00,203.9,204.36,203.41,203.95,35810
2024-10-18 09:25:00,203.85,204.3,203.74,204.07,18027
2024-10-18 09:30:00,204.22,204.31,203.6,203.81,24444
2024-10-18 09:35:00,203.81,204.15,203.4,203.71,53703
2024-10-18 09:40:00,203.91,203.94,202.48,203.45,72728
2024-10-18 09:45:00,203.33,203.76,202.51,203.7,68375
2024-10-18 09:50:00,203.6,204.9,203.42,203.65,138506
2024-10-18 09:55:00,203.65,205.1,203.4,204,113783
2024-10-21 03:45:00,202.99,205.01,202.25,203.29,124806
2024-10-21 03:50:00,203.25,204.64,202.95,204.43,38941
2024-10-21 03:55:00,204.43,204.63,203.46,204.5,17422
2024-10-21 04:00:00,204.5,204.78,203.3,203.41,40721
2024-10-21 04:05:00,203.4,203.61,201.61,202.22,63492
2024-10-21 04:10:00,202.34,202.88,201.53,201.75,27792
2024-10-21 04:15:00,201.75,202,201.13,201.66,30247
2024-10-21 04:20:00,201.5,202.3,200.67,202.14,66793
2024-10-21 04:25:00,202.34,202.38,200.6,201.18,27546
2024-10-21 04:30:00,201.17,202.69,200.89,202.67,17227
2024-10-21 04:35:00,202.49,203.5,202.21,203.05,22783
2024-10-21 04:40:00,203.15,204.25,203.02,203.9,48475
2024-10-21 04:45:00,203.94,204.01,201.92,201.93,12406
2024-10-21 04:50:00,201.93,202.45,201.65,202.3,9916
2024-10-21 04:55:00,202.3,202.3,201.41,201.6,5618
2024-10-21 05:00:00,201.81,201.82,200.91,201.41,11604
2024-10-21 05:05:00,201.41,201.56,201.07,201.36,6067
2024-10-21 05:10:00,201.36,201.36,200.92,201.06,14646
2024-10-21 05:15:00,201.1,201.36,200.86,201.25,5046
2024-10-21 05:20:00,201.09,201.24,200.6,200.69,4930
2024-10-21 05:25:00,200.61,201,200.6,200.99,7226
2024-10-21 05:30:00,200.99,201.36,200.8,201.3,4758
2024-10-21 05:35:00,201.3,201.74,200.99,201.15,14068
2024-10-21 05:40:00,200.93,201.13,200.82,200.99,6583
2024-10-21 05:45:00,200.9,201.08,200.11,200.11,27384
2024-10-21 05:50:00,200.1,200.85,200,200.73,14257
2024-10-21 05:55:00,200.7,200.7,200.15,200.15,10509
2024-10-21 06:00:00,200.33,200.37,199.35,199.57,32773
2024-10-21 06:05:00,199.43,200.71,199.4,200.48,23504
2024-10-21 06:10:00,200.59,200.84,200.3,200.3,4774
2024-10-21 06:15:00,200.44,200.44,199.55,199.6,61725
2024-10-21 06:20:00,199.61,199.61,198.5,198.5,32705
2024-10-21 06:25:00,198.5,198.78,198,198,27316
2024-10-21 06:30:00,198.05,198.35,197.1,197.23,31464
2024-10-21 06:35:00,197.29,198.59,197.15,198.42,41854
2024-10-21 06:40:00,198.42,198.42,198,198,22793
2024-10-21 06:45:00,198.02,198.15,198,198,22832
2024-10-21 06:50:00,198.02,198.17,197.25,197.34,22337
2024-10-21 06:55:00,197.46,197.5,197.1,197.27,18180
2024-10-21 07:00:00,197.11,197.39,197,197.02,16611
2024-10-21 07:05:00,197.02,197.23,197,197,18729
2024-10-21 07:10:00,197.02,197.02,196.31,196.37,23219
2024-10-21 07:15:00,196.4,196.68,196.13,196.36,19791
2024-10-21 07:20:00,196.35,196.36,196,196.25,20316
2024-10-21 07:25:00,196.25,197.15,196.11,196.73,37995
2024-10-21 07:30:00,196.73,196.84,196.15,196.84,23322
2024-10-21 07:35:00,196.69,196.99,196.4,196.61,24875
2024-10-21 07:40:00,196.51,196.72,196.4,196.55,24644
2024-10-21 07:45:00,196.57,197.67,196.41,197.46,27352
2024-10-21 07:50:00,197.74,198.13,197,197.2,22746
2024-10-21 07:55:00,196.92,197.2,196.44,196.6,17795
2024-10-21 08:00:00,196.65,196.71,196.4,196.49,28002
2024-10-21 08:05:00,196.49,196.7,196.15,196.26,23278
2024-10-21 08:10:00,196.41,196.76,196.12,196.41,35412
2024-10-21 08:15:00,196.33,196.53,196.11,196.31,28906
2024-10-21 08:20:00,196.12,196.56,196.01,196.25,26076
2024-10-21 08:25:00,196.44,196.8,196.25,196.75,19008
2024-10-21 08:30:00,196.55,196.99,196.4,196.56,32938
2024-10-21 08:35:00,196.5,196.6,195.2,195.45,39449
2024-10-21 08:40:00,195.25,196.77,195.19,196.16,43812
2024-10-21 08:45:00,196.11,196.55,196.06,196.35,17118
2024-10-21 08:50:00,196.34,196.41,196.01,196.06,15271
2024-10-21 08:55:00,196.1,196.22,195.6,195.77,48866
2024-10-21 09:00:00,195.77,195.99,195.6,195.65,17636
2024-10-21 09:05:00,195.65,195.95,195.21,195.39,28452
2024-10-21 09:10:00,195.39,196.65,195.2,196.21,32353
2024-10-21 09:15:00,196.27,198.64,196.27,197.86,168640
2024-10-21 09:20:00,197.94,199.17,197.7,198.64,166771
2024-10-21 09:25:00,198.55,199,197.86,198.98,86526
2024-10-21 09:30:00,199,199.19,197.87,198.3,112662
2024-10-21 09:35:00,198.34,199,198.34,199,85429
2024-10-21 09:40:00,199,199,198.54,198.82,91884
2024-10-21 09:45:00,198.82,199.1,198.26,199,140989
2024-10-21 09:50:00,199,199.1,198.83,199,55916
2024-10-21 09:55:00,199.01,199.38,198.84,199,58257
2024-10-22 03:45:00,197,198.5,195.31,195.85,37034
2024-10-22 03:50:00,195.69,196.61,194.71,194.85,58761
2024-10-22 03:55:00,194.8,196.13,194.01,195.5,130231
2024-10-22 04:00:00,195.5,195.5,193.05,193.36,68076
2024-10-22 04:05:00,193.2,193.77,192.73,193.19,57090
2024-10-22 04:10:00,193.17,193.57,192.52,193.56,51362
2024-10-22 04:15:00,193.56,194.5,193.2,193.23,30285
2024-10-22 04:20:00,193.23,193.86,192.98,193.66,34875
2024-10-22 04:25:00,193.67,193.68,193.02,193.68,38527
2024-10-22 04:30:00,193.4,193.99,193,193.05,24297
2024-10-22 04:35:00,193.05,193.13,192.5,192.55,31293
2024-10-22 04:40:00,192.6,193.07,192,192.57,59143
2024-10-22 04:45:00,192.57,192.72,192.01,192.22,29839
2024-10-22 04:50:00,192.15,192.46,192,192.1,57498
2024-10-22 04:55:00,192.15,192.25,190.98,191.15,94409
2024-10-22 05:00:00,191.2,191.65,190.5,191.17,45810
2024-10-22 05:05:00,191.33,191.62,190.76,191.37,26802
2024-10-22 05:10:00,191.38,191.74,190.95,191,12043
2024-10-22 05:15:00,191,191.99,189.61,190.93,137123
2024-10-22 05:20:00,190.93,191.79,190.31,191.57,29352
2024-10-22 05:25:00,191.57,192.07,191.5,191.65,30328
2024-10-22 05:30:00,191.65,191.8,191.01,191.48,22621
2024-10-22 05:35:00,191.48,191.58,190.33,191.24,18985
2024-10-22 05:40:00,191.2,191.55,190.81,191.22,19658
2024-10-22 05:45:00,191.22,191.22,190.51,191.08,11180
2024-10-22 05:50:00,191.13,191.13,190.1,190.56,15234
2024-10-22 05:55:00,190.55,190.55,190,190.28,18610
2024-10-22 06:00:00,190.3,190.79,190.01,190.6,14464
2024-10-22 06:05:00,190.43,190.49,189.7,189.8,23962
2024-10-22 06:10:00,189.8,189.94,189.35,189.58,21594
2024-10-22 06:15:00,189.76,189.89,189.11,189.49,16867
2024-10-22 06:20:00,189.42,189.56,189.11,189.39,18287
2024-10-22 06:25:00,189.37,189.79,189.06,189.79,17899
2024-10-22 06:30:00,189.84,190,189.17,189.4,23398
2024-10-22 06:35:00,189.4,189.72,189,189.35,34930
2024-10-22 06:40:00,189.2,189.98,189,189.52,40892
2024-10-22 06:45:00,189.42,189.59,189.01,189.04,13294
2024-10-22 06:50:00,189.15,190.44,189.11,189.84,28239
2024-10-22 06:55:00,190,190.21,189.06,189.39,22478
2024-10-22 07:00:00,189.36,189.5,189,189.32,11498
2024-10-22 07:05:00,189.42,189.49,189,189.23,11780
2024-10-22 07:10:00,189.23,189.41,189,189,11407
2024-10-22 07:15:00,189.11,189.12,189,189.09,37966
2024-10-22 07:20:00,189.09,189.1,188.11,188.3,26317
2024-10-22 07:25:00,188.3,188.83,188.1,188.71,16787
2024-10-22 07:30:00,188.71,188.99,188.21,188.9,19377
2024-10-22 07:35:00,188.9,188.9,188.25,188.41,23848
2024-10-22 07:40:00,188.29,188.9,188.25,188.65,18327
2024-10-22 07:45:00,188.65,188.7,188.1,188.11,15981
2024-10-22 07:50:00,188.12,188.64,188.03,188.22,26307
2024-10-22 07:55:00,188.2,188.24,187.95,188.03,28667
2024-10-22 08:00:00,188.06,188.58,188,188.28,31532
2024-10-22 08:05:00,188.27,188.3,187.55,188,20820
2024-10-22 08:10:00,187.88,188.19,187.38,187.67,23987
2024-10-22 08:15:00,187.81,189.07,187.52,188.93,27015
2024-10-22 08:20:00,188.79,189.12,188.44,189,15971
2024-10-22 08:25:00,188.84,188.99,188.2,188.36,13827
2024-10-22 08:30:00,188.55,188.9,188,188.1,22506
2024-10-22 08:35:00,188.19,188.33,187.42,187.51,19257
2024-10-22 08:40:00,187.7,188.9,187.55,188.87,16620
2024-10-22 08:45:00,188.8,189.4,188.44,189.1,34702
2024-10-22 08:50:00,189.1,189.15,188.19,188.23,34827
2024-10-22 08:55:00,188.38,188.41,187.2,188,46746
2024-10-22 09:00:00,188,188.12,187.5,187.95,24667
2024-10-22 09:05:00,187.95,187.98,187.25,187.36,25145
2024-10-22 09:10:00,187.36,188.19,187.36,187.73,30631
2024-10-22 09:15:00,187.73,188.32,187.52,188.21,17112
2024-10-22 09:20:00,188.2,188.27,188,188.12,12130
2024-10-22 09:25:00,188.15,188.22,187.21,187.38,20547
2024-10-22 09:30:00,187.38,187.89,186.6,186.67,49861
2024-10-22 09:35:00,186.74,186.98,186.4,186.5,60774
2024-10-22 09:40:00,186.5,186.5,186.05,186.3,91796
2024-10-22 09:45:00,186.3,186.43,185.25,186.43,146674
2024-10-22 09:50:00,186.27,186.27,184.8,185.83,126646
2024-10-22 09:55:00,185.83,186.7,183,186.7,173001
2024-10-23 03:45:00,185.1,188.72,185.1,187.76,112136
2024-10-23 03:50:00,188,189.5,185.94,186.15,73356
2024-10-23 03:55:00,186.2,187.42,185,185.83,100562
2024-10-23 04:00:00,185.86,186.54,185,186.15,53325
2024-10-23 04:05:00,186.09,186.26,185,185.04,30998
2024-10-23 04:10:00,185.2,185.8,182,182,86727
2024-10-23 04:15:00,182.01,184.49,182,184.28,115122
2024-10-23 04:20:00,184.38,185.52,182.78,184.73,54283
2024-10-23 04:25:00,184.73,185.86,184.33,185.72,25360
2024-10-23 04:30:00,185.73,187.51,185.69,186.86,144923
